age,job,credit_amount,duration,housing,purpose,sex,default
56,2,17518,61,own,education,female,1
50,2,2425,28,rent,car,male,0
18,1,18940,50,rent,education,male,1
44,1,7417,41,own,business,male,0
69,1,1052,18,own,car,male,1
30,3,4411,66,free,other,male,0
58,0,3889,24,own,business,male,0
20,0,14129,60,free,furniture,male,0
56,1,2930,56,free,furniture,female,1
23,0,958,49,free,furniture,female,0
25,1,13895,17,rent,business,female,1
44,3,707,20,rent,business,male,0
26,3,1399,42,own,business,male,0
54,2,12153,12,free,car,male,0
50,3,16905,9,rent,car,male,0
68,1,9101,26,rent,furniture,female,1
59,3,1394,62,rent,education,male,0
61,2,1014,49,rent,furniture,female,0
41,0,4609,41,rent,other,male,0
32,1,13758,17,free,car,female,0
49,0,15813,65,free,business,male,1
49,2,15849,38,free,car,female,0
41,2,7679,22,free,business,male,0
58,2,10826,33,own,other,female,1
69,0,12287,28,free,other,male,1
66,0,2060,43,rent,car,female,0
66,0,14112,17,free,business,female,0
69,0,18150,29,own,other,male,0
29,2,5280,25,rent,furniture,female,0
56,2,18811,51,free,furniture,male,1
19,1,12394,54,free,business,male,0
20,1,2856,6,free,car,male,0
66,0,5290,45,rent,other,female,0
54,3,17190,22,rent,car,female,0
66,3,10681,31,own,furniture,male,0
34,2,7557,48,rent,other,male,0
66,2,16582,66,rent,car,female,0
19,2,1161,22,free,education,female,0
19,1,5144,50,rent,business,female,0
45,1,16211,17,free,business,male,0
40,2,3420,41,free,education,male,0
54,2,16502,56,rent,furniture,male,0
49,2,14525,64,own,other,male,0
50,3,9446,39,own,business,male,0
18,1,13232,43,rent,education,female,0
36,3,6736,33,own,education,male,0
19,3,16809,12,free,furniture,female,1
61,2,14018,67,free,furniture,female,1
43,2,852,36,rent,car,male,1
49,0,7505,55,own,business,female,0
23,0,14536,17,own,car,male,1
49,3,17042,56,free,education,female,0
21,1,1456,62,rent,other,male,0
28,2,2571,44,own,other,male,0
34,2,9095,71,rent,furniture,female,1
55,3,15640,71,own,other,male,0
41,0,13303,11,free,other,female,0
22,1,3953,5,free,other,male,1
69,0,7175,44,rent,education,male,1
51,0,1455,58,free,other,male,0
23,0,6795,19,own,other,female,0
39,0,16421,65,free,other,female,0
28,2,18596,51,rent,car,male,1
65,2,15782,33,rent,education,female,0
33,0,5203,15,rent,furniture,male,0
50,1,7063,38,own,car,female,1
26,3,12503,14,own,business,female,0
23,1,11317,67,own,education,male,0
33,1,11671,53,own,education,male,0
46,1,13082,24,own,business,male,0
20,0,12701,51,free,business,male,0
37,2,18278,23,own,business,male,0
53,1,12973,70,own,furniture,female,0
36,0,9961,47,free,other,female,0
43,1,16096,36,own,education,male,0
20,1,1029,64,rent,other,male,1
36,0,19842,12,own,other,male,1
37,2,13265,71,own,business,female,0
49,2,14410,38,rent,furniture,male,0
24,3,12061,68,rent,car,male,0
69,0,9631,11,rent,furniture,female,1
58,3,1025,48,rent,other,female,0
50,3,16885,50,own,furniture,female,1
57,3,874,43,rent,business,female,0
56,2,12697,57,rent,car,male,1
35,0,5148,49,free,business,female,1
57,3,2865,50,rent,car,female,1
18,0,18409,18,rent,other,male,0
28,0,2146,22,free,car,male,0
45,2,513,29,free,car,male,0
42,3,5099,55,own,car,female,0
67,3,2778,25,free,furniture,male,0
40,0,14796,24,own,furniture,female,0
48,1,3655,54,free,other,female,0
47,2,8821,41,free,car,female,0
59,2,4314,23,own,education,male,0
52,2,13625,32,free,other,female,0
24,2,3716,54,own,car,male,1
33,3,2613,7,free,car,male,0
43,3,10738,58,rent,furniture,male,0
65,1,14260,31,free,other,female,0
69,2,13088,7,own,car,female,1
66,2,3874,25,free,car,female,0
19,0,6930,48,own,other,male,0
18,3,19965,70,own,education,female,0
65,2,12470,69,rent,other,female,0
29,1,1129,37,rent,other,female,0
22,1,17153,58,own,education,female,1
54,3,11331,4,free,other,female,1
49,1,6224,41,own,car,male,0
26,1,11583,9,own,other,male,0
58,3,13649,28,free,education,male,0
52,2,9972,20,free,business,male,0
36,2,6776,64,free,other,female,0
65,1,16135,15,free,furniture,male,0
33,1,6395,9,own,car,female,1
20,2,14494,30,own,car,male,1
37,3,11052,11,rent,furniture,male,0
41,1,17459,68,own,furniture,male,0
50,0,6599,60,free,other,female,0
41,3,9999,43,rent,furniture,female,0
69,1,3678,17,free,business,male,0
28,1,19618,38,own,education,female,0
66,0,6616,51,rent,furniture,male,1
25,0,16063,59,free,furniture,male,1
53,2,4068,52,rent,business,male,0
55,3,10347,16,rent,car,female,0
57,3,14635,64,own,car,male,0
37,2,19087,52,free,other,male,0
52,3,18274,49,rent,business,male,0
65,3,2242,65,rent,education,female,0
42,3,18809,11,free,education,male,0
52,3,1119,46,rent,business,female,0
42,3,18158,23,rent,education,male,1
46,0,17840,42,rent,car,female,0
35,3,2439,52,free,education,male,0
63,0,16501,67,free,education,male,0
35,3,1468,65,free,business,female,0
19,2,15346,57,free,business,female,0
52,1,781,12,own,education,male,1
33,0,15860,40,rent,furniture,female,1
58,3,6762,52,free,business,male,0
53,2,1558,44,rent,other,male,0
50,1,11224,20,rent,other,male,0
21,0,5678,24,own,car,female,0
50,1,7480,54,free,education,male,1
31,2,9700,62,free,furniture,female,0
38,0,1729,42,rent,car,male,0
65,1,8967,58,free,education,female,0
37,3,19624,44,rent,business,female,0
25,0,2789,42,rent,other,male,1
24,1,1739,16,own,furniture,female,0
20,2,5870,67,own,other,male,1
34,2,16670,14,own,business,male,0
50,0,625,22,rent,education,male,1
65,1,13004,14,free,business,male,0
29,0,15898,49,own,business,male,0
68,0,7138,48,free,other,female,1
39,1,7070,4,own,furniture,male,0
39,1,3749,43,own,business,female,0
63,3,9610,22,rent,other,female,0
47,1,8095,64,own,furniture,male,1
55,2,14105,15,own,education,female,0
55,0,12615,64,rent,education,male,1
62,0,6794,36,free,car,female,0
68,2,6257,48,own,other,female,0
25,1,13095,11,rent,furniture,female,1
44,2,2469,28,own,business,male,0
44,2,11485,49,rent,education,female,1
51,3,17775,33,free,furniture,male,1
38,2,4970,50,free,other,female,0
47,0,10725,52,rent,car,female,0
50,2,10056,50,rent,education,female,0
45,0,9706,21,rent,furniture,female,1
64,0,10491,69,free,furniture,male,1
50,0,8019,71,own,furniture,male,0
22,1,14169,36,free,other,female,0
65,3,5112,39,rent,other,female,0
36,0,12873,22,rent,other,male,1
21,0,18082,31,free,business,male,0
52,1,16052,43,rent,furniture,male,0
66,0,15146,18,free,education,male,0
34,2,5738,44,rent,other,female,1
61,2,16077,42,own,other,female,0
45,3,16004,5,own,furniture,male,0
47,0,4219,66,rent,other,male,0
46,1,802,32,free,business,male,0
63,2,12644,69,own,business,male,1
23,1,17870,54,free,other,male,1
52,1,10555,13,rent,furniture,male,0
58,2,4940,17,free,furniture,female,0
54,1,3572,54,own,furniture,female,0
41,2,14098,42,free,car,female,0
46,1,14787,31,free,other,male,1
66,2,14465,6,rent,furniture,male,0
63,0,10019,30,rent,business,male,0
48,3,13880,5,rent,education,female,0
52,2,12365,41,own,education,male,0
50,2,8625,6,own,furniture,male,0
69,3,3791,19,rent,education,female,0
38,2,4533,43,rent,education,male,0
49,2,5605,5,own,car,female,1
40,1,17587,44,own,business,female,0
50,3,8633,15,own,business,male,0
20,0,17458,38,own,car,female,1
35,2,6204,68,rent,car,male,0
42,3,8348,58,own,education,female,1
59,1,13475,48,rent,other,male,0
48,0,7424,65,free,education,female,0
20,3,988,52,free,car,male,0
57,0,7614,28,own,business,female,0
63,0,16240,26,free,education,female,0
41,0,3673,27,free,other,female,1
67,2,2167,41,free,education,male,0
49,2,4614,31,own,furniture,male,0
64,1,4053,24,own,education,female,0
39,1,8261,57,free,car,male,0
40,3,1500,21,rent,business,female,0
19,1,16138,39,free,business,male,0
44,0,18272,48,own,car,female,1
59,0,5950,56,own,furniture,male,1
19,2,4212,33,own,car,female,0
43,0,1867,63,free,education,female,0
34,3,8689,35,rent,car,female,1
57,0,9513,70,own,car,female,1
50,0,17338,70,own,furniture,male,0
26,3,19656,31,free,education,female,1
60,1,4226,47,rent,other,male,0
65,1,5306,44,free,other,male,1
56,3,2690,66,own,business,female,0
46,2,9608,26,rent,car,male,0
59,0,12678,51,rent,business,male,1
43,3,3375,35,own,furniture,male,0
52,0,6092,60,rent,other,female,0
67,2,18324,36,rent,car,male,0
42,0,13092,27,free,furniture,male,1
41,3,9427,42,own,furniture,female,1
30,0,14937,37,own,car,female,1
24,1,12030,59,own,furniture,male,0
53,2,7510,31,own,car,female,1
62,2,11707,40,own,car,male,0
37,2,3489,10,rent,education,male,0
18,3,12540,71,free,business,male,1
25,2,9718,40,own,furniture,female,0
63,1,6971,59,free,furniture,male,0
33,3,3363,68,free,education,female,0
31,1,11193,68,rent,education,female,0
29,0,1677,50,own,education,male,1
68,0,5260,23,rent,other,female,0
40,0,511,22,own,other,female,1
32,0,16853,32,rent,other,female,0
45,1,12056,63,free,car,female,0
51,3,12063,21,own,furniture,female,0
19,3,14551,38,free,business,male,1
49,2,11522,46,free,car,female,0
40,1,8734,14,rent,furniture,male,1
39,0,16673,52,own,furniture,male,0
68,1,13678,41,free,education,male,0
42,2,7070,67,rent,education,male,0
39,2,906,11,own,car,male,1
39,1,9706,37,own,education,male,1
66,1,4931,51,free,furniture,female,0
69,1,7042,59,own,education,female,0
59,3,9406,68,free,other,female,0
23,0,4646,34,own,education,male,1
32,1,12546,7,rent,furniture,female,0
60,1,13111,53,free,car,female,1
54,1,13576,33,free,business,female,1
50,2,17024,62,own,education,male,0
25,2,5382,70,own,furniture,female,1
61,3,14613,48,free,business,male,0
61,0,14145,7,own,business,female,0
22,3,6512,29,rent,other,male,0
56,0,17847,30,own,business,male,0
21,2,7651,49,rent,furniture,male,1
23,2,4110,67,rent,furniture,female,0
62,2,10384,54,rent,education,female,0
49,3,7394,53,rent,education,male,0
69,1,13967,9,rent,education,female,0
47,1,16989,62,own,business,male,0
64,2,10373,18,rent,business,male,0
52,1,12789,33,own,other,female,0
57,1,12708,45,rent,education,female,1
69,3,11328,40,free,car,female,1
33,0,2637,45,rent,other,male,0
30,2,1786,38,free,car,male,1
67,2,16210,9,rent,business,female,0
59,3,11871,71,rent,other,male,0
47,3,16445,21,rent,other,female,0
36,1,7552,32,free,furniture,male,0
34,2,4154,62,free,business,female,0
36,0,19243,50,rent,business,female,1
45,3,16100,20,own,other,male,0
43,0,9136,25,rent,business,female,1
54,0,6941,71,free,other,female,0
43,2,10167,40,rent,furniture,male,1
40,2,12649,52,free,other,female,0
26,3,2298,16,free,business,male,0
29,2,10100,37,free,business,female,0
18,2,5995,56,rent,other,male,0
18,2,10400,54,free,other,female,0
64,0,14173,6,free,other,female,1
51,3,11630,45,rent,education,female,0
49,1,15722,35,free,business,female,1
65,0,1800,54,rent,business,male,0
42,2,9935,49,free,education,male,1
57,0,19981,24,own,other,male,0
62,2,5116,47,own,furniture,male,0
18,2,16893,14,free,other,male,1
33,0,11117,71,own,other,male,0
56,3,6252,4,rent,education,male,0
22,2,10352,66,own,business,female,0
39,3,6795,27,free,other,female,0
46,1,17956,16,free,business,female,0
20,2,3725,14,rent,car,female,1
29,3,1816,54,free,business,male,0
43,3,12837,20,rent,furniture,male,0
33,1,7307,27,own,furniture,male,0
68,3,4183,22,own,other,female,0
54,3,7727,40,rent,business,male,0
39,1,3773,11,rent,other,female,1
46,2,645,31,free,education,male,0
31,3,5510,8,own,furniture,male,1
45,3,16535,20,rent,other,male,0
22,3,3540,39,own,education,male,0
64,0,10154,22,rent,other,female,0
66,1,17366,67,own,business,female,0
47,0,18133,14,free,business,male,0
63,1,17514,57,own,business,female,0
69,2,15496,48,own,business,male,1
22,2,16836,50,own,car,male,0
29,3,9353,15,own,education,male,1
33,1,12195,24,own,education,male,0
43,2,3352,14,free,business,female,1
43,1,16514,8,rent,car,male,1
65,2,1487,59,own,business,male,0
38,0,8122,23,free,car,female,1
56,2,9660,44,own,business,male,0
53,0,17984,49,own,furniture,female,1
50,2,7152,15,rent,furniture,male,0
47,3,7921,20,own,other,male,0
54,0,1269,22,free,business,male,1
40,2,18227,29,free,education,male,0
27,3,14614,51,rent,other,male,0
22,0,4858,55,own,furniture,male,1
53,3,12043,58,free,business,female,0
51,1,19233,36,own,other,male,0
69,1,6199,65,own,business,female,0
48,0,18125,26,own,furniture,female,0
27,2,1625,18,rent,other,male,1
36,0,11293,30,own,furniture,female,0
49,3,7264,67,free,car,male,0
18,2,12823,54,own,furniture,female,0
22,1,13531,56,free,business,male,1
62,2,14552,54,own,education,female,0
21,1,13140,50,free,furniture,female,0
33,2,8343,7,free,education,male,1
41,2,14710,10,own,car,female,0
33,2,16956,38,own,other,male,0
19,3,10606,51,free,other,male,0
66,3,5689,48,rent,education,male,0
45,0,2972,22,own,other,male,0
49,0,17591,66,rent,furniture,male,0
44,1,18688,41,own,education,female,1
37,3,7204,70,own,business,female,0
41,1,4213,62,own,furniture,female,1
29,0,5551,16,own,furniture,male,0
67,1,11256,50,rent,furniture,female,1
52,0,2975,64,own,business,female,1
50,3,4110,34,free,car,female,0
50,2,4755,25,free,other,female,0
68,3,14984,46,rent,education,female,0
60,1,2235,70,own,car,male,1
54,1,8758,57,free,education,male,1
29,3,8479,13,rent,other,female,0
20,3,2928,45,own,business,male,0
18,0,12845,67,free,furniture,male,0
50,1,7926,24,free,furniture,female,1
57,1,9033,69,rent,business,female,0
27,3,5749,44,own,car,male,0
60,2,19701,27,own,car,female,0
61,1,10186,38,free,education,male,0
46,2,14609,59,free,business,male,1
30,3,1161,33,free,car,female,0
29,3,12575,60,own,business,male,0
48,0,15288,50,rent,other,male,0
63,1,10560,38,rent,furniture,male,0
19,2,16336,22,own,furniture,female,0
68,0,11026,11,rent,furniture,female,1
67,1,3874,29,free,business,female,1
52,0,707,33,rent,business,female,0
40,3,3165,10,rent,education,male,0
34,1,19377,70,rent,furniture,female,1
43,0,1132,68,free,education,female,0
25,0,3583,39,own,furniture,female,0
46,2,14211,28,free,education,female,1
43,0,10623,40,own,education,male,1
27,1,7623,4,own,other,male,1
43,1,11254,18,own,education,male,1
51,2,2179,40,rent,business,female,1
68,1,16401,16,rent,education,female,0
58,3,736,11,own,furniture,male,0
24,1,7946,8,own,education,female,0
21,1,4943,63,rent,car,female,0
67,0,15963,4,free,furniture,male,0
62,0,9055,39,own,car,male,0
28,1,19252,38,free,furniture,female,0
46,2,17169,69,rent,business,female,0
53,0,648,66,own,business,female,0
42,2,13895,26,free,business,male,0
38,1,5395,12,free,car,male,0
53,1,17896,37,free,other,male,1
27,3,11523,49,rent,furniture,male,0
54,0,11199,7,rent,business,female,0
26,1,10215,33,free,furniture,male,1
41,3,19669,6,free,car,male,0
52,0,16663,17,rent,other,female,0
66,1,6282,63,free,car,female,0
52,1,19292,48,free,furniture,female,0
65,0,17224,37,rent,other,male,1
53,0,3317,48,free,other,female,0
35,0,15596,64,free,car,female,0
66,1,19380,19,free,business,male,0
56,1,5799,69,rent,furniture,male,0
49,3,10417,43,free,education,female,0
41,2,18573,20,rent,education,male,0
40,0,3767,37,rent,car,female,0
49,1,4906,19,own,furniture,female,0
54,1,18326,63,own,furniture,male,0
29,0,10882,69,free,car,female,0
66,2,4937,69,rent,furniture,male,0
30,0,5935,16,own,business,male,1
40,2,4607,59,free,car,male,0
42,1,1060,34,own,business,female,0
52,2,12829,37,own,furniture,male,0
58,3,2326,42,rent,car,male,0
47,1,11921,70,rent,furniture,female,1
34,3,12765,11,own,car,female,0
66,0,8129,58,own,furniture,female,1
37,0,8825,30,rent,business,female,0
65,0,8193,56,free,business,male,1
42,2,8764,42,rent,furniture,male,0
39,1,13186,68,own,car,male,1
30,0,14216,20,free,education,female,0
36,0,7221,33,own,business,female,0
66,1,19862,56,free,business,male,0
53,0,7873,16,own,education,female,0
29,3,6407,24,free,furniture,female,1
58,1,16627,22,free,car,male,0
36,1,6156,56,own,furniture,male,0
29,1,9484,22,free,other,female,0
26,3,8786,60,rent,business,female,0
24,1,6401,28,own,other,female,0
45,3,5417,34,rent,business,male,0
31,1,8929,58,own,business,male,0
48,2,15216,26,free,other,male,1
69,0,16295,35,free,other,male,0
36,2,11638,65,free,furniture,male,0
64,0,3030,13,own,other,female,1
33,3,18844,57,rent,furniture,female,0
22,2,17932,55,rent,furniture,female,0
52,1,6272,23,own,furniture,male,0
29,0,15976,35,own,business,male,0
42,0,19413,17,rent,business,male,0
69,2,16251,53,rent,other,female,1
38,3,3464,31,rent,business,male,0
53,2,7637,56,rent,other,male,0
40,3,17847,27,own,business,female,1
33,3,17420,25,own,car,male,1
56,0,14391,33,free,car,female,0
62,2,7840,66,rent,other,male,0
59,2,8467,7,free,business,male,0
56,3,12915,62,own,business,female,1
31,2,12371,11,own,furniture,female,1
48,1,12416,15,free,education,female,0
22,1,9234,34,rent,other,female,0
52,2,1345,37,rent,education,female,0
40,2,19920,52,rent,education,female,1
46,3,2994,60,rent,other,male,0
60,1,13177,29,free,business,male,0
28,1,19603,21,free,other,female,1
35,0,18768,41,own,education,male,0
64,3,12830,53,rent,business,female,0
29,0,5679,11,rent,car,male,0
26,1,7110,44,rent,other,female,0
27,3,6930,9,free,other,male,0
61,2,7654,47,rent,business,male,0
34,3,14328,67,free,car,male,0
55,2,10645,32,rent,car,male,1
24,2,6988,31,rent,business,male,0
63,3,4350,14,own,furniture,female,0
30,2,17573,68,rent,other,female,0
57,0,14064,22,rent,other,female,1
59,1,5578,12,own,education,male,1
26,2,12668,30,free,business,female,0
67,0,5948,37,free,education,male,0
44,2,18063,47,rent,education,male,0
19,1,9574,71,free,car,male,0
22,0,6906,18,rent,other,female,0
46,1,9300,54,own,education,male,1
54,1,14583,16,own,car,female,1
55,0,2138,52,rent,business,female,0
36,0,10840,59,own,education,male,1
25,0,1882,54,own,other,male,1
65,3,1903,40,rent,education,female,0
62,0,9511,20,rent,business,female,0
18,0,3792,61,own,education,female,1
39,0,9511,32,free,other,female,0
69,0,919,36,free,car,female,1
34,2,12911,63,rent,other,female,1
24,3,5017,58,rent,car,male,0
42,1,15922,13,free,furniture,female,1
62,0,10200,50,own,other,female,1
21,2,6193,26,free,other,female,0
53,2,1267,24,free,business,female,0
23,2,18928,16,free,education,male,0
48,1,15318,36,free,car,male,0
36,0,2049,27,rent,car,female,0
61,3,10456,14,rent,business,female,0
56,3,6640,20,own,business,female,0
44,2,11337,71,own,education,male,0
27,1,4216,50,own,education,male,1
43,1,4981,28,own,other,male,1
36,1,7048,24,free,furniture,male,1
56,3,19177,15,rent,education,male,0
20,2,5337,40,rent,business,male,1
62,0,8258,45,own,education,female,1
30,3,11400,20,own,car,male,0
67,2,8493,51,free,furniture,male,0
45,2,6042,31,free,other,female,0
37,0,15328,44,own,car,male,1
45,0,16552,50,rent,car,female,0
25,0,2885,21,rent,furniture,male,0
58,1,14808,16,rent,other,female,0
56,0,1171,16,own,business,female,0
18,2,663,34,rent,other,female,0
20,0,9156,5,free,education,female,0
30,2,11734,19,free,car,female,0
45,3,5295,12,own,education,male,1
66,1,11134,41,free,business,male,0
42,3,5298,57,own,education,female,0
50,3,19239,59,rent,other,female,0
55,2,11249,48,rent,education,female,0
23,3,6327,37,rent,business,male,0
61,2,5219,12,free,business,female,0
62,0,1093,11,own,business,female,1
49,0,7894,10,rent,other,female,1
62,2,14556,39,own,business,female,1
64,0,11136,21,rent,car,male,0
38,1,19556,6,free,business,female,0
33,3,516,31,free,education,female,1
38,1,3691,47,own,education,male,0
28,3,892,24,free,education,female,0
54,0,6772,31,free,other,female,0
53,1,17455,57,own,education,male,0
52,0,4131,57,rent,other,male,0
36,3,6672,68,free,other,male,1
37,2,9812,24,own,business,female,0
35,2,19163,16,free,car,female,0
64,1,9406,60,free,business,male,1
58,0,17659,52,free,business,male,1
66,0,19131,57,free,other,male,0
31,1,16962,13,own,other,female,0
32,2,8580,56,own,education,female,1
48,3,7599,47,own,education,male,1
18,1,15416,50,free,business,female,0
20,3,7583,56,free,furniture,male,1
33,2,9723,49,free,furniture,female,0
40,0,5440,16,own,education,female,0
28,2,3956,40,free,furniture,female,0
29,1,8288,27,rent,education,female,0
27,0,3211,5,free,other,male,1
49,1,11780,17,rent,business,female,0
33,1,18552,13,free,car,female,0
25,2,17031,38,own,business,male,0
55,1,12589,28,free,education,female,0
29,2,10642,6,rent,education,male,0
41,0,17249,20,rent,business,male,0
45,2,16087,15,free,education,female,0
25,0,10366,57,rent,furniture,female,1
45,2,5031,27,rent,furniture,male,0
53,3,13186,32,own,education,male,0
43,3,5830,46,free,education,male,1
25,1,6010,28,free,furniture,female,0
67,2,9464,63,free,education,male,0
45,2,6993,68,rent,education,male,1
45,0,11259,31,free,business,male,0
54,1,5939,19,free,car,female,0
58,2,14973,50,own,furniture,male,0
53,1,10265,61,own,business,female,0
44,3,13779,30,own,car,female,1
34,2,7011,56,rent,education,male,0
26,2,11983,45,free,education,female,1
50,1,18130,62,own,business,male,1
37,2,2876,50,own,education,female,0
30,1,19893,37,own,other,female,0
45,2,12324,40,free,business,male,0
65,0,18711,9,free,car,male,0
